masterid,x,y,lon,lat
"654",923642.25579834,123045.839416519,-74.217939077435,40.5042003038307
"656",923178.782226577,125864.193237305,-74.219631082745,40.5119329722569
"657",923611.086792022,125036.079040542,-74.2180689736378,40.5096629211131
"670",923169.727233917,129865.651611358,-74.2196997394123,40.5229161452968
"679",923771.795593292,129133.24041751,-74.217527625688,40.5209099419735
"682",923994.033203125,129663.234008804,-74.2167330026183,40.5223661843633
"698",924132.221984893,129943.843627945,-74.2162384488212,40.5231373410867
"699",924548.54321292,129668.421020508,-74.2147385548285,40.5223841701808
"700",924611.417236358,129220.442993194,-74.2145084600597,40.5211549795125
"703",924879.093811065,129249.202819839,-74.2135459351344,40.5212357148627
"704",924860.222412124,129357.060241714,-74.2136147577588,40.5215316364579
"705",924805.307800323,129708.043640152,-74.2138153567756,40.5224946506277
"711",925735.58801271,125786.155212417,-74.2104353763163,40.5117360003888
"714",925174.339233428,127887.309204116,-74.2124721157871,40.5174995486805
"715",925262.889038131,127504.609802291,-74.2121503043911,40.5164497011001
"716",925351.94720462,127126.552795425,-74.2118267151627,40.5154125983996
"720",925097.236389175,128218.499389648,-74.2127523165988,40.5184080886656
"722",925393.118408233,128282.843200698,-74.2116886932991,40.518586667665
"723",925300.815429717,128715.194641128,-74.2120244390683,40.5197727767661
"724",925581.667785674,128774.321838409,-74.2110148045232,40.5199369310341
"725",925689.433837906,128347.901428238,-74.2106235116628,40.5187672006029
"727",925940.482604995,128402.596801758,-74.2097210444737,40.5189189822486
"729",925120.468017608,129409.559997559,-74.212679161485,40.5216774763363
"732",925474.345214859,129229.288024917,-74.211404763757,40.5211850156433
"736",925946.145385772,129601.990783721,-74.2097110047873,40.5222111259424
"739",926902.301635757,126759.460388198,-74.2062477812868,40.5144151546403
"742",926385.229187042,127274.039428726,-74.2081117931277,40.5158242193202
"743",926540.783203125,127653.303833038,-74.207555574101,40.5168662407806
"744",926645.622436523,127380.39080812,-74.2071761917909,40.5161178278045
"745",926835.143005386,126920.283630401,-74.2064906760661,40.5148561495518
"751",926938.600830093,127293.419189468,-74.2061217524539,40.515881004395
"754",926059.275024414,128926.696838394,-74.2092982909555,40.5203583163105
"756",926190.505188018,128542.613037124,-74.2088229955962,40.5193049395163
"757",926480.091186553,128626.914001495,-74.2077821627122,40.5195382196694
"759",926726.632629409,128699.367797852,-74.2068960410809,40.5197386932189
"760",926978.44323732,128774.020019546,-74.2059909809765,40.5199452281936
"765",926829.835205108,129944.145996094,-74.2065354067144,40.5231560392035
"767",927077.512634292,126348.132812515,-74.205614174728,40.5132872692457
"770",927699.977233887,126247.161621138,-74.2033747184892,40.5130141110846
"777",927326.441223145,127306.687011719,-74.2047269922669,40.5159199185168
"778",927316.214782715,127102.337036148,-74.2047620538083,40.5153589511347
"779",927542.182189941,127484.944396988,-74.2039525700201,40.5164105824491
"783",927866.745239258,127561.735595718,-74.2027859059374,40.5166234279311
"784",927789.481628433,127685.209838882,-74.2030648178118,40.516961849921
"785",927018.859802246,128031.317993179,-74.2058393364497,40.5179069138752
"786",927266.585632339,128100.468200698,-74.2049489430143,40.5180983123359
"787",927374.790832534,128893.796630874,-74.2045664324224,40.5202765415009
"788",927528.753784195,128179.565795913,-74.2040066839808,40.5183170999008
"789",927218.420410171,130101.243835464,-74.2051390274932,40.5235897488996
"790",927322.680786163,129247.995422363,-74.2047568368989,40.5212484152002
"792",927612.271423355,129944.745239288,-74.2037210659931,40.5231627131865
"795",928212.292419448,126867.947814941,-74.2015373873844,40.514721301362
"796",927651.765197769,126966.960021988,-74.2035541215018,40.5149895135687
"797",928338.975219741,126378.257202178,-74.2010777366472,40.5133779926919
"799",928448.26959233,126744.588439941,-74.2006876914111,40.5143841903782
"800",928562.117797881,126358.450805664,-74.2002750693093,40.5133250310314
"805",928869.800842285,126342.151611328,-74.1991683931409,40.5132822183688
"809",928973.823608413,127959.956604004,-74.1988074936017,40.5177234343523
"812",928255.959594741,128430.943786651,-74.2013932643799,40.5190117033543
"814",928689.584838867,128544.230407745,-74.1998345832998,40.5193253793391
"815",928732.396240249,128250.340026885,-74.1996781942112,40.5185189742566
"829",929455.800415069,126096.640197769,-74.1970589352422,40.5126119738009
